시스템명(대분류),시스템명(소분류),업무코드(변경관리),업무코드(메타),어플리케이션명,상태(운영/불용),시스템상태(live/dead),"시스템중요도(핵심,일반)",복구레벨(lv1~5)
ERP,ERP-인사관리-001,HRMS,SMRH,인사관리_APP,운영,live,일반,lv1
ERP,ERP-재무회계-002,FINS,SNIF,재무회계_APP,불용,dead,핵심,lv1
MES,MES-생산관리-003,MESP,PSEM,생산관리_APP,불용,dead,일반,lv3
WMS,WMS-창고관리-004,WMSP,PSMW,창고관리_APP,운영,live,핵심,lv4
CRM,CRM-고객관리-005,CRMS,SMRC,고객관리_APP,운영,live,일반,lv4
SRM,SRM-구매관리-006,SRMS,SMRS,구매관리_APP,운영,live,일반,lv1
SCM,SCM-공급망관리-007,SCMS,SMCS,공급망관리_APP,운영,live,일반,lv2
보안,보안-접근제어-008,ACCS,SCCA,접근제어_APP,운영,live,일반,lv4
보안,보안-계정관리-009,IDMS,SMDI,계정관리_APP,운영,live,일반,lv3
보안,보안-침해탐지-010,IDPS,SPDI,침해탐지_APP,운영,live,일반,lv1
AI,AI-챗봇상담-011,AICB,BCIA,챗봇상담_APP,운영,live,일반,lv4
AI,AI-수요예측-012,AIFC,CFIA,수요예측_APP,운영,live,일반,lv5
AI,AI-문서분석-013,AIDP,PDIA,문서분석_APP,운영,live,일반,lv5
데이터,데이터-ETL플랫폼-014,ETLP,PLTE,ETL플랫폼_APP,운영,live,일반,lv2
데이터,데이터-허브-015,DHUB,BUHD,허브_APP,운영,live,일반,lv3
모니터링,모니터링-장애감시-016,MNTR,RTNM,장애감시_APP,운영,live,일반,lv2
모니터링,모니터링-로그분석-017,LOGS,SGOL,로그분석_APP,운영,live,핵심,lv2
그룹웨어,그룹웨어-전자결재-018,GWAP,PAWG,전자결재_APP,불용,dead,일반,lv4
그룹웨어,그룹웨어-메일시스템-019,GWML,LMWG,메일시스템_APP,운영,live,일반,lv2
모바일,모바일-사내앱-020,MAPP,PPAM,사내앱_APP,불용,dead,핵심,lv3
포탈,포탈-인트라넷-021,INPT,TPNI,인트라넷_APP,불용,dead,일반,lv3
포탈,포탈-고객사이트-022,WCPT,TPCW,고객사이트_APP,운영,live,핵심,lv2
클라우드,클라우드-자원관리-023,CLRM,MRLC,자원관리_APP,운영,live,일반,lv2
클라우드,클라우드-모니터링-024,CLMN,NMLC,모니터링_APP,운영,live,일반,lv1
네트워크,네트워크-방화벽관리-025,FWMG,GMWF,방화벽관리_APP,운영,live,일반,lv5
네트워크,네트워크-네트워크장비-026,NETW,WTEN,네트워크장비_APP,운영,live,일반,lv5
인프라,인프라-서버관리-027,SRVM,MVRS,서버관리_APP,운영,live,일반,lv2
인프라,인프라-백업시스템-028,BKUP,PUKB,백업시스템_APP,운영,live,일반,lv5
ITSM,ITSM-서비스포탈-029,ITSP,PSTI,서비스포탈_APP,불용,dead,일반,lv1
ITSM,ITSM-장애관리-030,ITIM,MITI,장애관리_APP,운영,live,핵심,lv5
ERP,ERP-인사관리-031,HRMS,SMRH,인사관리_APP,운영,live,일반,lv3
ERP,ERP-재무회계-032,FINS,SNIF,재무회계_APP,운영,live,일반,lv5
MES,MES-생산관리-033,MESP,PSEM,생산관리_APP,운영,live,일반,lv3
WMS,WMS-창고관리-034,WMSP,PSMW,창고관리_APP,불용,dead,일반,lv2
CRM,CRM-고객관리-035,CRMS,SMRC,고객관리_APP,운영,live,일반,lv1
SRM,SRM-구매관리-036,SRMS,SMRS,구매관리_APP,운영,live,일반,lv2
SCM,SCM-공급망관리-037,SCMS,SMCS,공급망관리_APP,운영,live,일반,lv1
보안,보안-접근제어-038,ACCS,SCCA,접근제어_APP,운영,live,일반,lv4
보안,보안-계정관리-039,IDMS,SMDI,계정관리_APP,운영,live,일반,lv5
보안,보안-침해탐지-040,IDPS,SPDI,침해탐지_APP,운영,live,핵심,lv3
AI,AI-챗봇상담-041,AICB,BCIA,챗봇상담_APP,운영,live,일반,lv4
AI,AI-수요예측-042,AIFC,CFIA,수요예측_APP,불용,dead,일반,lv5
AI,AI-문서분석-043,AIDP,PDIA,문서분석_APP,운영,live,일반,lv5
데이터,데이터-ETL플랫폼-044,ETLP,PLTE,ETL플랫폼_APP,운영,live,일반,lv5
데이터,데이터-허브-045,DHUB,BUHD,허브_APP,운영,live,핵심,lv2
모니터링,모니터링-장애감시-046,MNTR,RTNM,장애감시_APP,불용,dead,일반,lv2
모니터링,모니터링-로그분석-047,LOGS,SGOL,로그분석_APP,운영,live,일반,lv3
그룹웨어,그룹웨어-전자결재-048,GWAP,PAWG,전자결재_APP,불용,dead,일반,lv4
그룹웨어,그룹웨어-메일시스템-049,GWML,LMWG,메일시스템_APP,운영,live,핵심,lv5
모바일,모바일-사내앱-050,MAPP,PPAM,사내앱_APP,운영,live,일반,lv2
포탈,포탈-인트라넷-051,INPT,TPNI,인트라넷_APP,운영,live,일반,lv5
포탈,포탈-고객사이트-052,WCPT,TPCW,고객사이트_APP,불용,dead,일반,lv3
클라우드,클라우드-자원관리-053,CLRM,MRLC,자원관리_APP,운영,live,일반,lv4
클라우드,클라우드-모니터링-054,CLMN,NMLC,모니터링_APP,운영,live,일반,lv2
네트워크,네트워크-방화벽관리-055,FWMG,GMWF,방화벽관리_APP,운영,live,일반,lv4
네트워크,네트워크-네트워크장비-056,NETW,WTEN,네트워크장비_APP,운영,live,일반,lv4
인프라,인프라-서버관리-057,SRVM,MVRS,서버관리_APP,운영,live,일반,lv1
인프라,인프라-백업시스템-058,BKUP,PUKB,백업시스템_APP,불용,dead,핵심,lv1
ITSM,ITSM-서비스포탈-059,ITSP,PSTI,서비스포탈_APP,운영,live,일반,lv4
ITSM,ITSM-장애관리-060,ITIM,MITI,장애관리_APP,운영,live,일반,lv1
ERP,ERP-인사관리-061,HRMS,SMRH,인사관리_APP,불용,dead,핵심,lv3
ERP,ERP-재무회계-062,FINS,SNIF,재무회계_APP,운영,live,일반,lv5
MES,MES-생산관리-063,MESP,PSEM,생산관리_APP,운영,live,일반,lv2
WMS,WMS-창고관리-064,WMSP,PSMW,창고관리_APP,운영,live,일반,lv5
CRM,CRM-고객관리-065,CRMS,SMRC,고객관리_APP,운영,live,일반,lv5
SRM,SRM-구매관리-066,SRMS,SMRS,구매관리_APP,운영,live,핵심,lv1
SCM,SCM-공급망관리-067,SCMS,SMCS,공급망관리_APP,운영,live,일반,lv1
보안,보안-접근제어-068,ACCS,SCCA,접근제어_APP,운영,live,일반,lv2
보안,보안-계정관리-069,IDMS,SMDI,계정관리_APP,운영,live,일반,lv2
보안,보안-침해탐지-070,IDPS,SPDI,침해탐지_APP,운영,live,핵심,lv1
AI,AI-챗봇상담-071,AICB,BCIA,챗봇상담_APP,운영,live,일반,lv5
AI,AI-수요예측-072,AIFC,CFIA,수요예측_APP,운영,live,핵심,lv4
AI,AI-문서분석-073,AIDP,PDIA,문서분석_APP,운영,live,핵심,lv2
데이터,데이터-ETL플랫폼-074,ETLP,PLTE,ETL플랫폼_APP,운영,live,핵심,lv2
데이터,데이터-허브-075,DHUB,BUHD,허브_APP,운영,live,일반,lv2
모니터링,모니터링-장애감시-076,MNTR,RTNM,장애감시_APP,운영,live,핵심,lv4
모니터링,모니터링-로그분석-077,LOGS,SGOL,로그분석_APP,운영,live,일반,lv1
그룹웨어,그룹웨어-전자결재-078,GWAP,PAWG,전자결재_APP,운영,live,핵심,lv3
그룹웨어,그룹웨어-메일시스템-079,GWML,LMWG,메일시스템_APP,운영,live,일반,lv4
모바일,모바일-사내앱-080,MAPP,PPAM,사내앱_APP,운영,live,일반,lv1
포탈,포탈-인트라넷-081,INPT,TPNI,인트라넷_APP,운영,live,핵심,lv1
포탈,포탈-고객사이트-082,WCPT,TPCW,고객사이트_APP,운영,live,일반,lv2
클라우드,클라우드-자원관리-083,CLRM,MRLC,자원관리_APP,운영,live,일반,lv2
클라우드,클라우드-모니터링-084,CLMN,NMLC,모니터링_APP,불용,dead,일반,lv5
네트워크,네트워크-방화벽관리-085,FWMG,GMWF,방화벽관리_APP,운영,live,일반,lv1
네트워크,네트워크-네트워크장비-086,NETW,WTEN,네트워크장비_APP,불용,dead,일반,lv1
인프라,인프라-서버관리-087,SRVM,MVRS,서버관리_APP,운영,live,핵심,lv2
인프라,인프라-백업시스템-088,BKUP,PUKB,백업시스템_APP,운영,live,일반,lv3
ITSM,ITSM-서비스포탈-089,ITSP,PSTI,서비스포탈_APP,운영,live,일반,lv5
ITSM,ITSM-장애관리-090,ITIM,MITI,장애관리_APP,운영,live,일반,lv4
ERP,ERP-인사관리-091,HRMS,SMRH,인사관리_APP,운영,live,핵심,lv4
ERP,ERP-재무회계-092,FINS,SNIF,재무회계_APP,운영,live,일반,lv5
MES,MES-생산관리-093,MESP,PSEM,생산관리_APP,운영,live,일반,lv5
WMS,WMS-창고관리-094,WMSP,PSMW,창고관리_APP,운영,live,일반,lv1
CRM,CRM-고객관리-095,CRMS,SMRC,고객관리_APP,운영,live,핵심,lv2
SRM,SRM-구매관리-096,SRMS,SMRS,구매관리_APP,운영,live,일반,lv3
SCM,SCM-공급망관리-097,SCMS,SMCS,공급망관리_APP,운영,live,일반,lv1
보안,보안-접근제어-098,ACCS,SCCA,접근제어_APP,운영,live,핵심,lv3
보안,보안-계정관리-099,IDMS,SMDI,계정관리_APP,불용,dead,핵심,lv5
보안,보안-침해탐지-100,IDPS,SPDI,침해탐지_APP,운영,live,일반,lv3
AI,AI-챗봇상담-101,AICB,BCIA,챗봇상담_APP,불용,dead,일반,lv1
AI,AI-수요예측-102,AIFC,CFIA,수요예측_APP,운영,live,핵심,lv3
AI,AI-문서분석-103,AIDP,PDIA,문서분석_APP,불용,dead,일반,lv4
데이터,데이터-ETL플랫폼-104,ETLP,PLTE,ETL플랫폼_APP,불용,dead,일반,lv1
데이터,데이터-허브-105,DHUB,BUHD,허브_APP,운영,live,일반,lv3
모니터링,모니터링-장애감시-106,MNTR,RTNM,장애감시_APP,운영,live,일반,lv5
모니터링,모니터링-로그분석-107,LOGS,SGOL,로그분석_APP,운영,live,일반,lv5
그룹웨어,그룹웨어-전자결재-108,GWAP,PAWG,전자결재_APP,운영,live,일반,lv3
그룹웨어,그룹웨어-메일시스템-109,GWML,LMWG,메일시스템_APP,운영,live,일반,lv5
모바일,모바일-사내앱-110,MAPP,PPAM,사내앱_APP,운영,live,일반,lv4
포탈,포탈-인트라넷-111,INPT,TPNI,인트라넷_APP,운영,live,일반,lv3
포탈,포탈-고객사이트-112,WCPT,TPCW,고객사이트_APP,운영,live,일반,lv2
클라우드,클라우드-자원관리-113,CLRM,MRLC,자원관리_APP,운영,live,일반,lv2
클라우드,클라우드-모니터링-114,CLMN,NMLC,모니터링_APP,운영,live,일반,lv4
네트워크,네트워크-방화벽관리-115,FWMG,GMWF,방화벽관리_APP,불용,dead,일반,lv4
네트워크,네트워크-네트워크장비-116,NETW,WTEN,네트워크장비_APP,운영,live,일반,lv3
인프라,인프라-서버관리-117,SRVM,MVRS,서버관리_APP,운영,live,일반,lv5
인프라,인프라-백업시스템-118,BKUP,PUKB,백업시스템_APP,운영,live,일반,lv3
ITSM,ITSM-서비스포탈-119,ITSP,PSTI,서비스포탈_APP,운영,live,핵심,lv1
ITSM,ITSM-장애관리-120,ITIM,MITI,장애관리_APP,불용,dead,핵심,lv1
ERP,ERP-인사관리-121,HRMS,SMRH,인사관리_APP,불용,dead,핵심,lv2
ERP,ERP-재무회계-122,FINS,SNIF,재무회계_APP,운영,live,핵심,lv2
MES,MES-생산관리-123,MESP,PSEM,생산관리_APP,운영,live,일반,lv3
WMS,WMS-창고관리-124,WMSP,PSMW,창고관리_APP,운영,live,일반,lv5
CRM,CRM-고객관리-125,CRMS,SMRC,고객관리_APP,운영,live,일반,lv5
SRM,SRM-구매관리-126,SRMS,SMRS,구매관리_APP,운영,live,핵심,lv3
SCM,SCM-공급망관리-127,SCMS,SMCS,공급망관리_APP,운영,live,핵심,lv1
보안,보안-접근제어-128,ACCS,SCCA,접근제어_APP,불용,dead,일반,lv1
보안,보안-계정관리-129,IDMS,SMDI,계정관리_APP,운영,live,핵심,lv4
보안,보안-침해탐지-130,IDPS,SPDI,침해탐지_APP,운영,live,일반,lv5
AI,AI-챗봇상담-131,AICB,BCIA,챗봇상담_APP,운영,live,일반,lv3
AI,AI-수요예측-132,AIFC,CFIA,수요예측_APP,운영,live,핵심,lv5
AI,AI-문서분석-133,AIDP,PDIA,문서분석_APP,운영,live,일반,lv4
데이터,데이터-ETL플랫폼-134,ETLP,PLTE,ETL플랫폼_APP,운영,live,핵심,lv2
데이터,데이터-허브-135,DHUB,BUHD,허브_APP,불용,dead,일반,lv2
모니터링,모니터링-장애감시-136,MNTR,RTNM,장애감시_APP,운영,live,일반,lv1
모니터링,모니터링-로그분석-137,LOGS,SGOL,로그분석_APP,운영,live,핵심,lv3
그룹웨어,그룹웨어-전자결재-138,GWAP,PAWG,전자결재_APP,운영,live,핵심,lv2
그룹웨어,그룹웨어-메일시스템-139,GWML,LMWG,메일시스템_APP,운영,live,일반,lv2
모바일,모바일-사내앱-140,MAPP,PPAM,사내앱_APP,불용,dead,일반,lv1
포탈,포탈-인트라넷-141,INPT,TPNI,인트라넷_APP,운영,live,일반,lv3
포탈,포탈-고객사이트-142,WCPT,TPCW,고객사이트_APP,운영,live,일반,lv2
클라우드,클라우드-자원관리-143,CLRM,MRLC,자원관리_APP,운영,live,일반,lv1
클라우드,클라우드-모니터링-144,CLMN,NMLC,모니터링_APP,운영,live,일반,lv4
네트워크,네트워크-방화벽관리-145,FWMG,GMWF,방화벽관리_APP,운영,live,일반,lv5
네트워크,네트워크-네트워크장비-146,NETW,WTEN,네트워크장비_APP,운영,live,핵심,lv2
인프라,인프라-서버관리-147,SRVM,MVRS,서버관리_APP,운영,live,일반,lv3
인프라,인프라-백업시스템-148,BKUP,PUKB,백업시스템_APP,운영,live,일반,lv5
ITSM,ITSM-서비스포탈-149,ITSP,PSTI,서비스포탈_APP,운영,live,핵심,lv1
ITSM,ITSM-장애관리-150,ITIM,MITI,장애관리_APP,운영,live,핵심,lv4
ERP,ERP-인사관리-151,HRMS,SMRH,인사관리_APP,운영,live,핵심,lv1
ERP,ERP-재무회계-152,FINS,SNIF,재무회계_APP,불용,dead,일반,lv5
MES,MES-생산관리-153,MESP,PSEM,생산관리_APP,운영,live,일반,lv3
WMS,WMS-창고관리-154,WMSP,PSMW,창고관리_APP,운영,live,일반,lv2
CRM,CRM-고객관리-155,CRMS,SMRC,고객관리_APP,운영,live,핵심,lv4
SRM,SRM-구매관리-156,SRMS,SMRS,구매관리_APP,불용,dead,핵심,lv5
SCM,SCM-공급망관리-157,SCMS,SMCS,공급망관리_APP,운영,live,일반,lv2
보안,보안-접근제어-158,ACCS,SCCA,접근제어_APP,운영,live,일반,lv4
보안,보안-계정관리-159,IDMS,SMDI,계정관리_APP,운영,live,일반,lv5
보안,보안-침해탐지-160,IDPS,SPDI,침해탐지_APP,운영,live,일반,lv4
AI,AI-챗봇상담-161,AICB,BCIA,챗봇상담_APP,운영,live,일반,lv1
AI,AI-수요예측-162,AIFC,CFIA,수요예측_APP,운영,live,일반,lv5
AI,AI-문서분석-163,AIDP,PDIA,문서분석_APP,운영,live,일반,lv2
데이터,데이터-ETL플랫폼-164,ETLP,PLTE,ETL플랫폼_APP,운영,live,핵심,lv4
데이터,데이터-허브-165,DHUB,BUHD,허브_APP,운영,live,일반,lv3
모니터링,모니터링-장애감시-166,MNTR,RTNM,장애감시_APP,운영,live,핵심,lv4
모니터링,모니터링-로그분석-167,LOGS,SGOL,로그분석_APP,운영,live,일반,lv3
그룹웨어,그룹웨어-전자결재-168,GWAP,PAWG,전자결재_APP,운영,live,일반,lv4
그룹웨어,그룹웨어-메일시스템-169,GWML,LMWG,메일시스템_APP,운영,live,핵심,lv3
모바일,모바일-사내앱-170,MAPP,PPAM,사내앱_APP,운영,live,일반,lv1
포탈,포탈-인트라넷-171,INPT,TPNI,인트라넷_APP,불용,dead,일반,lv1
포탈,포탈-고객사이트-172,WCPT,TPCW,고객사이트_APP,운영,live,핵심,lv1
클라우드,클라우드-자원관리-173,CLRM,MRLC,자원관리_APP,운영,live,일반,lv4
클라우드,클라우드-모니터링-174,CLMN,NMLC,모니터링_APP,운영,live,일반,lv1
네트워크,네트워크-방화벽관리-175,FWMG,GMWF,방화벽관리_APP,운영,live,일반,lv1
네트워크,네트워크-네트워크장비-176,NETW,WTEN,네트워크장비_APP,운영,live,일반,lv1
인프라,인프라-서버관리-177,SRVM,MVRS,서버관리_APP,운영,live,핵심,lv4
인프라,인프라-백업시스템-178,BKUP,PUKB,백업시스템_APP,운영,live,일반,lv4
ITSM,ITSM-서비스포탈-179,ITSP,PSTI,서비스포탈_APP,운영,live,일반,lv2
ITSM,ITSM-장애관리-180,ITIM,MITI,장애관리_APP,운영,live,핵심,lv3
ERP,ERP-인사관리-181,HRMS,SMRH,인사관리_APP,운영,live,일반,lv1
ERP,ERP-재무회계-182,FINS,SNIF,재무회계_APP,운영,live,일반,lv2
MES,MES-생산관리-183,MESP,PSEM,생산관리_APP,운영,live,핵심,lv5
WMS,WMS-창고관리-184,WMSP,PSMW,창고관리_APP,운영,live,핵심,lv4
CRM,CRM-고객관리-185,CRMS,SMRC,고객관리_APP,운영,live,일반,lv5
SRM,SRM-구매관리-186,SRMS,SMRS,구매관리_APP,운영,live,일반,lv1
SCM,SCM-공급망관리-187,SCMS,SMCS,공급망관리_APP,운영,live,핵심,lv3
보안,보안-접근제어-188,ACCS,SCCA,접근제어_APP,불용,dead,핵심,lv2
보안,보안-계정관리-189,IDMS,SMDI,계정관리_APP,운영,live,핵심,lv4
보안,보안-침해탐지-190,IDPS,SPDI,침해탐지_APP,운영,live,일반,lv5
AI,AI-챗봇상담-191,AICB,BCIA,챗봇상담_APP,운영,live,일반,lv4
AI,AI-수요예측-192,AIFC,CFIA,수요예측_APP,운영,live,일반,lv5
AI,AI-문서분석-193,AIDP,PDIA,문서분석_APP,운영,live,핵심,lv2
데이터,데이터-ETL플랫폼-194,ETLP,PLTE,ETL플랫폼_APP,운영,live,핵심,lv4
데이터,데이터-허브-195,DHUB,BUHD,허브_APP,운영,live,일반,lv2
모니터링,모니터링-장애감시-196,MNTR,RTNM,장애감시_APP,운영,live,일반,lv4
모니터링,모니터링-로그분석-197,LOGS,SGOL,로그분석_APP,운영,live,일반,lv1
그룹웨어,그룹웨어-전자결재-198,GWAP,PAWG,전자결재_APP,운영,live,일반,lv1
그룹웨어,그룹웨어-메일시스템-199,GWML,LMWG,메일시스템_APP,운영,live,핵심,lv2
모바일,모바일-사내앱-200,MAPP,PPAM,사내앱_APP,운영,live,일반,lv4
포탈,포탈-인트라넷-201,INPT,TPNI,인트라넷_APP,운영,live,일반,lv5
포탈,포탈-고객사이트-202,WCPT,TPCW,고객사이트_APP,운영,live,일반,lv5
클라우드,클라우드-자원관리-203,CLRM,MRLC,자원관리_APP,운영,live,일반,lv2
클라우드,클라우드-모니터링-204,CLMN,NMLC,모니터링_APP,운영,live,핵심,lv5
네트워크,네트워크-방화벽관리-205,FWMG,GMWF,방화벽관리_APP,불용,dead,일반,lv3
네트워크,네트워크-네트워크장비-206,NETW,WTEN,네트워크장비_APP,불용,dead,일반,lv4
인프라,인프라-서버관리-207,SRVM,MVRS,서버관리_APP,운영,live,일반,lv5
인프라,인프라-백업시스템-208,BKUP,PUKB,백업시스템_APP,운영,live,핵심,lv1
ITSM,ITSM-서비스포탈-209,ITSP,PSTI,서비스포탈_APP,불용,dead,일반,lv5
ITSM,ITSM-장애관리-210,ITIM,MITI,장애관리_APP,불용,dead,일반,lv2
ERP,ERP-인사관리-211,HRMS,SMRH,인사관리_APP,운영,live,일반,lv3
ERP,ERP-재무회계-212,FINS,SNIF,재무회계_APP,운영,live,핵심,lv5
MES,MES-생산관리-213,MESP,PSEM,생산관리_APP,운영,live,일반,lv3
WMS,WMS-창고관리-214,WMSP,PSMW,창고관리_APP,운영,live,일반,lv1
CRM,CRM-고객관리-215,CRMS,SMRC,고객관리_APP,불용,dead,일반,lv4
SRM,SRM-구매관리-216,SRMS,SMRS,구매관리_APP,운영,live,일반,lv5
SCM,SCM-공급망관리-217,SCMS,SMCS,공급망관리_APP,운영,live,일반,lv3
보안,보안-접근제어-218,ACCS,SCCA,접근제어_APP,운영,live,일반,lv2
보안,보안-계정관리-219,IDMS,SMDI,계정관리_APP,운영,live,핵심,lv3
보안,보안-침해탐지-220,IDPS,SPDI,침해탐지_APP,운영,live,일반,lv1
AI,AI-챗봇상담-221,AICB,BCIA,챗봇상담_APP,운영,live,일반,lv5
AI,AI-수요예측-222,AIFC,CFIA,수요예측_APP,운영,live,일반,lv5
AI,AI-문서분석-223,AIDP,PDIA,문서분석_APP,운영,live,일반,lv5
데이터,데이터-ETL플랫폼-224,ETLP,PLTE,ETL플랫폼_APP,불용,dead,일반,lv2
데이터,데이터-허브-225,DHUB,BUHD,허브_APP,운영,live,일반,lv2
모니터링,모니터링-장애감시-226,MNTR,RTNM,장애감시_APP,불용,dead,핵심,lv1
모니터링,모니터링-로그분석-227,LOGS,SGOL,로그분석_APP,운영,live,일반,lv5
그룹웨어,그룹웨어-전자결재-228,GWAP,PAWG,전자결재_APP,운영,live,핵심,lv1
그룹웨어,그룹웨어-메일시스템-229,GWML,LMWG,메일시스템_APP,운영,live,일반,lv1
모바일,모바일-사내앱-230,MAPP,PPAM,사내앱_APP,운영,live,핵심,lv1
포탈,포탈-인트라넷-231,INPT,TPNI,인트라넷_APP,운영,live,일반,lv1
포탈,포탈-고객사이트-232,WCPT,TPCW,고객사이트_APP,운영,live,일반,lv5
클라우드,클라우드-자원관리-233,CLRM,MRLC,자원관리_APP,운영,live,일반,lv1
클라우드,클라우드-모니터링-234,CLMN,NMLC,모니터링_APP,불용,dead,핵심,lv3
네트워크,네트워크-방화벽관리-235,FWMG,GMWF,방화벽관리_APP,불용,dead,일반,lv5
네트워크,네트워크-네트워크장비-236,NETW,WTEN,네트워크장비_APP,운영,live,핵심,lv4
인프라,인프라-서버관리-237,SRVM,MVRS,서버관리_APP,불용,dead,일반,lv3
인프라,인프라-백업시스템-238,BKUP,PUKB,백업시스템_APP,운영,live,일반,lv2
ITSM,ITSM-서비스포탈-239,ITSP,PSTI,서비스포탈_APP,운영,live,핵심,lv3
ITSM,ITSM-장애관리-240,ITIM,MITI,장애관리_APP,운영,live,일반,lv3
ERP,ERP-인사관리-241,HRMS,SMRH,인사관리_APP,운영,live,일반,lv1
ERP,ERP-재무회계-242,FINS,SNIF,재무회계_APP,운영,live,핵심,lv2
MES,MES-생산관리-243,MESP,PSEM,생산관리_APP,운영,live,핵심,lv2
WMS,WMS-창고관리-244,WMSP,PSMW,창고관리_APP,운영,live,핵심,lv3
CRM,CRM-고객관리-245,CRMS,SMRC,고객관리_APP,운영,live,핵심,lv5
SRM,SRM-구매관리-246,SRMS,SMRS,구매관리_APP,운영,live,일반,lv2
SCM,SCM-공급망관리-247,SCMS,SMCS,공급망관리_APP,운영,live,일반,lv4
보안,보안-접근제어-248,ACCS,SCCA,접근제어_APP,운영,live,일반,lv3
보안,보안-계정관리-249,IDMS,SMDI,계정관리_APP,운영,live,일반,lv3
보안,보안-침해탐지-250,IDPS,SPDI,침해탐지_APP,운영,live,일반,lv3
AI,AI-챗봇상담-251,AICB,BCIA,챗봇상담_APP,운영,live,일반,lv4
AI,AI-수요예측-252,AIFC,CFIA,수요예측_APP,운영,live,일반,lv1
AI,AI-문서분석-253,AIDP,PDIA,문서분석_APP,운영,live,일반,lv4
데이터,데이터-ETL플랫폼-254,ETLP,PLTE,ETL플랫폼_APP,불용,dead,일반,lv5
데이터,데이터-허브-255,DHUB,BUHD,허브_APP,운영,live,일반,lv1
모니터링,모니터링-장애감시-256,MNTR,RTNM,장애감시_APP,운영,live,일반,lv2
모니터링,모니터링-로그분석-257,LOGS,SGOL,로그분석_APP,운영,live,일반,lv2
그룹웨어,그룹웨어-전자결재-258,GWAP,PAWG,전자결재_APP,운영,live,일반,lv1
그룹웨어,그룹웨어-메일시스템-259,GWML,LMWG,메일시스템_APP,운영,live,핵심,lv4
모바일,모바일-사내앱-260,MAPP,PPAM,사내앱_APP,운영,live,일반,lv4
포탈,포탈-인트라넷-261,INPT,TPNI,인트라넷_APP,운영,live,일반,lv4
포탈,포탈-고객사이트-262,WCPT,TPCW,고객사이트_APP,운영,live,일반,lv1
클라우드,클라우드-자원관리-263,CLRM,MRLC,자원관리_APP,운영,live,일반,lv4
클라우드,클라우드-모니터링-264,CLMN,NMLC,모니터링_APP,운영,live,일반,lv1
네트워크,네트워크-방화벽관리-265,FWMG,GMWF,방화벽관리_APP,운영,live,일반,lv2
네트워크,네트워크-네트워크장비-266,NETW,WTEN,네트워크장비_APP,불용,dead,일반,lv5
인프라,인프라-서버관리-267,SRVM,MVRS,서버관리_APP,불용,dead,핵심,lv5
인프라,인프라-백업시스템-268,BKUP,PUKB,백업시스템_APP,운영,live,일반,lv3
ITSM,ITSM-서비스포탈-269,ITSP,PSTI,서비스포탈_APP,운영,live,핵심,lv4
ITSM,ITSM-장애관리-270,ITIM,MITI,장애관리_APP,운영,live,일반,lv3
ERP,ERP-인사관리-271,HRMS,SMRH,인사관리_APP,운영,live,핵심,lv2
ERP,ERP-재무회계-272,FINS,SNIF,재무회계_APP,운영,live,일반,lv2
MES,MES-생산관리-273,MESP,PSEM,생산관리_APP,운영,live,일반,lv5
WMS,WMS-창고관리-274,WMSP,PSMW,창고관리_APP,운영,live,일반,lv3
CRM,CRM-고객관리-275,CRMS,SMRC,고객관리_APP,운영,live,핵심,lv3
SRM,SRM-구매관리-276,SRMS,SMRS,구매관리_APP,운영,live,일반,lv2
SCM,SCM-공급망관리-277,SCMS,SMCS,공급망관리_APP,운영,live,일반,lv4
보안,보안-접근제어-278,ACCS,SCCA,접근제어_APP,운영,live,일반,lv4
보안,보안-계정관리-279,IDMS,SMDI,계정관리_APP,운영,live,일반,lv4
보안,보안-침해탐지-280,IDPS,SPDI,침해탐지_APP,운영,live,일반,lv3
AI,AI-챗봇상담-281,AICB,BCIA,챗봇상담_APP,운영,live,일반,lv5
AI,AI-수요예측-282,AIFC,CFIA,수요예측_APP,운영,live,핵심,lv2
AI,AI-문서분석-283,AIDP,PDIA,문서분석_APP,운영,live,일반,lv5
데이터,데이터-ETL플랫폼-284,ETLP,PLTE,ETL플랫폼_APP,운영,live,일반,lv5
데이터,데이터-허브-285,DHUB,BUHD,허브_APP,운영,live,일반,lv2
모니터링,모니터링-장애감시-286,MNTR,RTNM,장애감시_APP,운영,live,일반,lv3
모니터링,모니터링-로그분석-287,LOGS,SGOL,로그분석_APP,불용,dead,핵심,lv5
그룹웨어,그룹웨어-전자결재-288,GWAP,PAWG,전자결재_APP,운영,live,일반,lv3
그룹웨어,그룹웨어-메일시스템-289,GWML,LMWG,메일시스템_APP,운영,live,일반,lv1
모바일,모바일-사내앱-290,MAPP,PPAM,사내앱_APP,운영,live,핵심,lv4
